view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time
A,candles-BINANCE,AVAX,0.0008578781812982557,0.998163686188095,0.015370284117373078,0.15789473684210525,0.821578886176026,0.4024390243902439,0.0008578781812982557,0.998163686188095,0.015370284117373078,0.0017064846416382255,0.9013035381750465,0.029609690444145357,57.25388693809509
A,candles-BINANCE,BNB,0.008406893652795292,0.9990513793457081,0.006648199445983379,0.38461538461538464,0.9041486843937073,0.3157894736842105,0.008406893652795292,0.9990513793457081,0.006648199445983379,0.016454134101192924,0.9492338798080435,0.013022246337493219,63.38624310493469
A,candles-BINANCE,DOGE,0.005476951163852123,0.9990474719390382,0.016256386437529028,0.48,0.9007497156651115,0.4375,0.005476951163852123,0.9990474719390382,0.016256386437529028,0.010830324909747294,0.9473555726439391,0.03134796238244514,60.66422080993652
A,candles-BINANCE,DOT,0.0018946570670708603,0.9986551696859426,0.01942117288651942,0.625,0.879905206663414,0.3669064748201439,0.0018946570670708603,0.9986551696859426,0.01942117288651942,0.003777861730260673,0.9355269008448199,0.03688969258589512,54.62555289268494
A,candles-BINANCE,NEO,0.03090013434841021,0.9976500968366688,0.015315315315315315,0.35751295336787564,0.9012316879723803,0.2905982905982906,0.03090013434841021,0.9976500968366688,0.015315315315315315,0.05688375927452597,0.9469930018506489,0.029097133076593923,60.28337907791138
A,candles-BINANCE,SOL,0.027454780361757105,0.9967652370811656,0.018363939899833055,0.4009433962264151,0.8636055772239998,0.34591194968553457,0.027454780361757105,0.9967652370811656,0.018363939899833055,0.05139056831922612,0.9254198263132868,0.03487634749524413,56.17839980125427
B,candles-HOUBI,AVAX,0.0031455533314269373,0.9983331449881343,0.008849557522123894,0.34375,0.82112234227954,0.31666666666666665,0.0031455533314269373,0.9983331449881343,0.008849557522123894,0.006234060640408047,0.9010977802144561,0.017217942908926143,49.792502641677856
B,candles-HOUBI,BNB,0.01008827238335435,0.9991795713260179,0.0033240997229916896,0.3380281690140845,0.9042017586598918,0.375,0.01008827238335435,0.9991795713260179,0.0033240997229916896,0.019591836734693877,0.9493209914134341,0.0065897858319604605,46.774109840393066
B,candles-HOUBI,DOGE,0.005933363760839799,0.9990217279373906,0.01579191825359963,0.5,0.9008728758473395,0.3953488372093023,0.005933363760839799,0.9990217279373906,0.01579191825359963,0.011727559765448805,0.9474121093750001,0.03037070120589549,47.30948877334595
B,candles-HOUBI,DOT,0.0015157256536566881,0.9983914774674999,0.021706016755521706,0.2857142857142857,0.8801636562289328,0.3630573248407643,0.0015157256536566881,0.9983914774674999,0.021706016755521706,0.003015454202789295,0.9355572028663208,0.040962989579590374,43.700100898742676
B,candles-HOUBI,NEO,0.010535959688502062,0.9989841473520998,0.018920166128287955,0.5348837209302325,0.8986172898881808,0.3178294573643411,0.010535959688502062,0.9989841473520998,0.018920166128287955,0.020664869721473494,0.9461464452096414,0.03571428571428571,45.963841915130615
B,candles-HOUBI,SOL,0.027454780361757105,0.9965765425775669,0.017696160267111852,0.41262135922330095,0.8633211124862807,0.3333333333333333,0.027454780361757105,0.9965765425775669,0.017696160267111852,0.0514839491217444,0.9251751751751751,0.033608116677235254,46.21631479263306
C,candles-OKX,AVAX,0.001143837575064341,0.9970336469192305,0.025151374010246856,0.3333333333333333,0.8226765192661833,0.3898916967509025,0.001143837575064341,0.9970336469192305,0.025151374010246856,0.002279851809632374,0.9015019924389497,0.04725443010282214,50.30595397949219
C,candles-OKX,BNB,0.009247583018074821,0.9989744378637541,0.00886426592797784,0.38596491228070173,0.9043706334284984,0.3404255319148936,0.009247583018074821,0.9989744378637541,0.00886426592797784,0.0180623973727422,0.9493214433642766,0.017278617710583154,45.64825701713562
C,candles-OKX,DOGE,0.005020538566864446,0.999073168219968,0.013934045517882025,0.5238095238095238,0.9005383829945234,0.410958904109589,0.005020538566864446,0.999073168219968,0.013934045517882025,0.009945750452079566,0.9472502257914908,0.026954177897574122,45.87654900550842
C,candles-OKX,DOT,0.0011367942402425162,0.9988133537260693,0.017517136329017517,0.42857142857142855,0.879714790040877,0.3709677419354839,0.0011367942402425162,0.9988133537260693,0.017517136329017517,0.0022675736961451248,0.935488651238608,0.03345454545454545,47.268714904785156
C,candles-OKX,NEO,0.011643528884908196,0.9984504932596456,0.022972972972972974,0.40625,0.9003726129483,0.2982456140350877,0.011643528884908196,0.9984504932596456,0.022972972972972974,0.022638223770134958,0.9468785971443265,0.04265997490589712,44.30829381942749
C,candles-OKX,SOL,0.03165374677002584,0.9954982882712888,0.024707846410684475,0.3983739837398374,0.8644460569743218,0.334841628959276,0.03165374677002584,0.9954982882712888,0.024707846410684475,0.05864751645721125,0.9253551830414193,0.046019900497512436,48.730661153793335
D,snapshot-BINANCE,AVAX,0.00028595939376608524,0.9996892392010622,0.0025617140195621797,1.0,0.8199745104854594,0.34375,0.00028595939376608524,0.9996892392010622,0.0025617140195621797,0.0005717552887364209,0.900957327630105,0.005085529357374018,238.9321517944336
D,snapshot-BINANCE,BNB,0.0004203446826397646,0.999974361603938,0.000554016620498615,0.3333333333333333,0.9032026491906537,0.5,0.0004203446826397646,0.999974361603938,0.000554016620498615,0.000839630562552477,0.9491282076240768,0.0011068068622025458,258.3786599636078
D,snapshot-BINANCE,DOGE,0.00045641259698767686,0.9998970239934095,0.002786809103576405,1.0,0.8995946728430805,0.5,0.00045641259698767686,0.9998970239934095,0.002786809103576405,0.0009124087591240876,0.9470976237213328,0.005542725173210162,224.1747019290924
D,snapshot-BINANCE,DOT,0.0,0.9996044616723361,0.005331302361005331,0.0,0.8785575229442848,0.3684210526315789,0.0,0.9996044616723361,0.005331302361005331,0.0,0.935180274080744,0.01051051051051051,223.79027700424194
D,snapshot-BINANCE,NEO,0.012539184952978056,0.9998708844415752,0.0036036036036036037,0.5957446808510638,0.898229985849166,0.3333333333333333,0.012539184952978056,0.9998708844415752,0.0036036036036036037,0.02456140350877193,0.946329064424675,0.0071301247771836,244.857666015625
D,snapshot-BINANCE,SOL,0.001614987080103359,0.9997843491387444,0.001335559265442404,0.4166666666666667,0.859257714762302,0.3333333333333333,0.001614987080103359,0.9997843491387444,0.001335559265442404,0.003217503217503217,0.9242097656396008,0.0026604589291652813,237.74070811271667
E,snapshot-HOUBI,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273355,0.0,277.92441296577454
E,snapshot-HOUBI,BNB,0.0,1.0,0.0,0.0,0.9031212373807539,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,216.42586016654968
E,snapshot-HOUBI,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,241.01320028305054
E,snapshot-HOUBI,DOT,0.0,1.0,0.0,0.0,0.8780911364267853,0.0,0.0,1.0,0.0,0.0,0.9350889521766468,0.0,219.24382209777832
E,snapshot-HOUBI,NEO,0.0018323408153916628,0.9999732670355815,0.005076142131979695,0.4444444444444444,0.8963385411674495,0.6875,0.0018323408153916628,0.9999732670355815,0.005076142131979695,0.00364963503649635,0.9453240500890838,0.010077874484654144,222.58960485458374
E,snapshot-HOUBI,SOL,0.0,1.0,0.0,0.0,0.858965453366676,0.0,0.0,1.0,0.0,0.0,0.9241327769820017,0.0,234.90925002098083
F,snapshot-OKX,AVAX,0.0,1.0,0.0,0.0,0.8196026674076132,0.0,0.0,1.0,0.0,0.0,0.9008589425462874,0.0,203.59675908088684
F,snapshot-OKX,BNB,0.0,1.0,0.0,0.0,0.9031189941417557,0.0,0.0,1.0,0.0,0.0,0.9490935636938801,0.0,202.1035988330841
F,snapshot-OKX,DOGE,0.0,0.9999227640183307,0.0009289363678588017,0.0,0.8995506763016491,0.2,0.0,0.9999227640183307,0.0009289363678588017,0.0,0.9470847862664293,0.001849283402681461,209.1419358253479
F,snapshot-OKX,DOT,0.0,0.9999736300828015,0.0015232292460015233,0.0,0.878227842238125,0.5,0.0,0.9999736300828015,0.0015232292460015233,0.0,0.9351549302721298,0.003037205770690964,177.2018768787384
F,snapshot-OKX,NEO,0.0,1.0,0.0,0.0,0.8968616097278518,0.0,0.0,1.0,0.0,0.0,0.9456268239373848,0.0,182.0157699584961
F,snapshot-OKX,SOL,0.001937984496124031,0.9998382618540583,0.001001669449081803,0.5,0.8592642357410926,0.3,0.001937984496124031,0.9998382618540583,0.001001669449081803,0.003861003861003861,0.9242365722686668,0.0019966722129783694,223.60487699508667
G,candles-BINANCE--candles-HOUBI,AVAX,0.0014297969688304261,0.9973161567364466,0.021658127619934794,0.29411764705882354,0.8222579367852235,0.3907563025210084,0.0014297969688304261,0.9973161567364466,0.021658127619934794,0.0028457598178713715,0.9013660155751307,0.04104148278905561,117.33141684532166
H,candles-BINANCE--candles-OKX,AVAX,0.0017157563625965113,0.9969771449557873,0.02375407545412203,0.5,0.8223998508540934,0.3849056603773585,0.0017157563625965113,0.9969771449557873,0.02375407545412203,0.0034197777144485612,0.9013127649793126,0.044746654968194785,121.72744393348694
I,candles-HOUBI--candles-OKX,AVAX,0.001143837575064341,0.996129506158888,0.02864462040055892,0.26666666666666666,0.8230584280678821,0.36936936936936937,0.001143837575064341,0.996129506158888,0.02864462040055892,0.002277904328018223,0.9013612833130952,0.05316619840069159,96.48006081581116
G,candles-BINANCE--candles-HOUBI,BNB,0.008827238335435058,0.9990513793457081,0.006094182825484765,0.38181818181818183,0.9042116254785938,0.2894736842105263,0.008827238335435058,0.9990513793457081,0.006094182825484765,0.01725554642563681,0.9492685659995859,0.011937059142702117,128.07444095611572
H,candles-BINANCE--candles-OKX,BNB,0.006725514922236234,0.999102656137832,0.006094182825484765,0.3902439024390244,0.9040692279138827,0.2558139534883721,0.006725514922236234,0.999102656137832,0.006094182825484765,0.013223140495867768,0.9492132313538266,0.011904761904761906,119.86139392852783
